name,category,container,instructions,image,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15
Pegu Club,Cocktail,Cocktail glass,"Shake, strain, up, cocktail glass",https://www.thecocktaildb.com/images/media/drink/jfkemm1513703902.jpg,Gin,Orange Curacao,Lime Juice,Angostura Bitters,Orange Bitters,,,,,,,,,,,1 1/2 oz,3/4 oz,3/4 oz,1 dash,1 dash,,,,,,,,,,
A Day at the Beach,Ordinary Drink,Highball glass,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",https://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,Coconut rum,Amaretto,Orange juice,Grenadine,,,,,,,,,,,,1 oz ,1/2 oz ,4 oz ,1/2 oz ,,,,,,,,,,,
Miami Vice,Cocktail,Cocktail glass,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",https://www.thecocktaildb.com/images/media/drink/qvuyqw1441208955.jpg,151 proof rum,Pina colada mix,Daiquiri mix,,,,,,,,,,,,,5 oz Bacardi ,frozen ,frozen ,,,,,,,,,,,,
Brigadier,Cocktail,Coupe Glass,Mix ingredients in a warmed mug and stir.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,Hot Chocolate,Green Chartreuse,Cherry Heering,,,,,,,,,,,,,4 oz,1 oz,1 oz,,,,,,,,,,,,
Bloody Maria,Ordinary Drink,Old-fashioned glass,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,https://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg,Tequila,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,,,,,,,,1 oz ,2 oz ,1 dash ,1 dash ,1 dash ,1 slice ,,,,,,,,,
Angel Face,Ordinary Drink,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass.,https://www.thecocktaildb.com/images/media/drink/vaukir1606772580.jpg,Apricot brandy,Apple brandy,Gin,,,,,,,,,,,,,1/2 oz ,1/2 oz ,1 oz ,,,,,,,,,,,,
Kiss me Quick,Ordinary Drink,Highball glass,mix in the glass,https://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,Cranberry vodka,Apfelkorn,Schweppes Russchian,Apple juice,Ice,,,,,,,,,,,4 cl ,2 cl ,7 cl ,8 cl ,cubes,,,,,,,,,,
Applejack,Cocktail,Cocktail glass,"Add all ingredients into mixing glass, chill and strain into cocktail glass",https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,Jack Daniels,Midori melon liqueur,Sour mix,,,,,,,,,,,,,1 oz ,1/2 oz ,2 oz ,,,,,,,,,,,,
Boozy Snickers Milkshake,Shake,Mason jar,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",https://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg,Vanilla Ice-Cream,Milk,Godiva liqueur,Whipped Cream,caramel sauce,chocolate sauce,Mini-snickers bars,,,,,,,,,3 cups ,1 cup ,1/2 cup ,for topping,"4 tablespoons
","4 tablespoons
","15
",,,,,,,,
Kurant Tea,Coffee / Tea,Champagne flute,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",https://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,Absolut Kurant,Tea,Sugar,,,,,,,,,,,,,4 cl ,Turkish apple ," (if needed)
",,,,,,,,,,,,
Zimadori Zinger,Punch / Party Drink,Collins glass,Pour Zima in a collins glass over ice and then pour the shot of Midori. Don't stir. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/bw8gzx1485619920.jpg,Midori melon liqueur,Zima,,,,,,,,,,,,,,1.5 oz ,12 oz ,,,,,,,,,,,,,
Loch Lomond,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",https://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg,Scotch,Drambuie,Dry Vermouth,Lemon peel,,,,,,,,,,,,2 oz ,1/2 oz ,1/2 oz ,1 twist of ,,,,,,,,,,,
Lone Tree Cooler,Ordinary Drink,Collins glass,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.",https://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg,Carbonated water,Gin,Dry Vermouth,Powdered sugar,Orange spiral,Lemon peel,,,,,,,,,,,,,,,,,,,,,,,,
B-52,Shot,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,Baileys irish cream,Grand Marnier,Kahlua,,,,,,,,,,,,,1/3 ,1/3 ,1/4 ,,,,,,,,,,,,
Cafe Savoy,Coffee / Tea,Coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee,Milk,Triple sec,Brandy,,,,,,,,,,,,,1/2 oz ,1/2 oz ,,,,,,,,,,,,
Gin Sling,Ordinary Drink,Old-fashioned glass,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,https://www.thecocktaildb.com/images/media/drink/8cl9sm1582581761.jpg,Gin,Lemon,Powdered sugar,Water,Orange peel,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 tsp ,Twist of ,,,,,,,,,,
Iced Coffee,Coffee / Tea,Coffee mug,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,https://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,Coffee,Sugar,Water,Milk,,,,,,,,,,,,1/4 cup instant ,1/4 cup ,1/4 cup hot ,4 cups cold ,,,,,,,,,,,
Bellini,Ordinary Drink,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,Champagne,Peach schnapps,,,,,,,,,,,,,,6 oz ,1 oz ,,,,,,,,,,,,,
Whiskey Sour,Ordinary Drink,Old-fashioned glass,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",https://www.thecocktaildb.com/images/media/drink/hbkfsh1589574990.jpg,Blended whiskey,Lemon,Powdered sugar,Cherry,Lemon,,,,,,,,,,,2 oz ,Juice of 1/2 ,1/2 tsp ,1 ,1/2 slice ,,,,,,,,,,
Zippy's Revenge,Cocktail,Old-fashioned glass,Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold,https://www.thecocktaildb.com/images/media/drink/1sqm7n1485620312.jpg,Amaretto,Rum,Kool-Aid,,,,,,,,,,,,,2 oz ,2 oz ,4 oz Grape ,,,,,,,,,,,,
French Negroni,Cocktail,Martini Glass,"Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg,Gin,Lillet,Sweet Vermouth,Orange Peel,,,,,,,,,,,,1 oz,1 oz,1 oz,1,,,,,,,,,,,
Jewel Of The Nile,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,Gin,Green Chartreuse,Yellow Chartreuse,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,
Allegheny,Ordinary Drink,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,,,,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,,,,,,,,,,
Rum Cooler,Ordinary Drink,Collins glass,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,https://www.thecocktaildb.com/images/media/drink/2hgwsb1504888674.jpg,Rum,Lemon-lime soda,Lemon,,,,,,,,,,,,,2 oz light or dark ,4 oz ,1 ,,,,,,,,,,,,
Ziemes Martini Apfelsaft,Ordinary Drink,Collins Glass,Serve without ice. At least the juice shold have room temperature.,https://www.thecocktaildb.com/images/media/drink/xnzr2p1485619687.jpg,Vermouth,Apple juice,,,,,,,,,,,,,,4 cl ,16 cl ,,,,,,,,,,,,,
Dirty Nipple,Shot,Shot glass,This is a layered shot - the Bailey's must be on top,https://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg,Kahlua,Sambuca,Baileys irish cream,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gin Rickey,Cocktail,Highball glass,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,https://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,Gin,Grenadine,lemon,Soda Water,Lime,,,,,,,,,,,2 oz ,1 tsp ,Juice of 1/2 ,Top up with,Garnish,,,,,,,,,,
24k nightmare,Shot,Shot glass,"Add over ice,shake and pour.",https://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,,,,,,,,,,,
Flying Scotchman,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/q53l911582482518.jpg,Scotch,Sweet Vermouth,Bitters,Sugar syrup,,,,,,,,,,,,1 oz ,1 oz ,1 dash ,1/4 tsp ,,,,,,,,,,,
Cosmopolitan Martini,Cocktail,Cocktail Glass,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass.",https://www.thecocktaildb.com/images/media/drink/upxxpq1439907580.jpg,Cointreau,Vodka,Lime,Cranberry juice,,,,,,,,,,,,1/2 oz ,1 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,,,
Hawaiian Cocktail,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,Gin,Triple sec,Pineapple juice,,,,,,,,,,,,,2 oz ,1/2 oz ,1 tblsp ,,,,,,,,,,,,
Vermouth Cassis,Ordinary Drink,Highball glass,"Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve.",https://www.thecocktaildb.com/images/media/drink/tswpxx1441554674.jpg,Dry Vermouth,Creme de Cassis,Carbonated water,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,,,,,,,,,,,,,
Castillian Hot Chocolate,Cocoa,Coffee mug,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six.",https://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,Cocoa powder,Sugar,Cornstarch,Water,Milk,,,,,,,,,,,1/2 cup ,1 cup ,7 tsp ,1/2 cup ,1 qt ,,,,,,,,,,
Flaming Dr. Pepper,Shot,Collins Glass,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",https://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg,Amaretto,Vodka,151 proof rum,Dr. Pepper,Beer,,,,,,,,,,,1 oz ,1 oz ,1 oz Bacardi ,1 oz ,1 oz ,,,,,,,,,,
White Wine Sangria,Punch / Party Drink,Pitcher,"Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water.",https://www.thecocktaildb.com/images/media/drink/hnuod91587851576.jpg,Lime,lemon,White Wine,Strawberries,Apple,Apple Brandy,Soda Water,,,,,,,,,1,1,750 ml,1 cup,1 cup,3 shots,Top,,,,,,,,
Black and Brown,Beer,Beer pilsner,CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.,https://www.thecocktaildb.com/images/media/drink/wwuvxv1472668899.jpg,Guinness stout,Root beer,,,,,,,,,,,,,,1/2 ,1/2 ,,,,,,,,,,,,,
Slippery Nipple,Shot,Shot glass,"Pour the Sambuca into a shot glass, then pour the Irish Cream on top so that the two liquids do not mix.",https://www.thecocktaildb.com/images/media/drink/l9tgru1551439725.jpg,Sambuca,Irish cream,,,,,,,,,,,,,,1 part,1 part,,,,,,,,,,,,,
Grizzly Bear,Ordinary Drink,Collins Glass,"Served over ice. Sounds nasty, but tastes great.",https://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg,Amaretto,Jägermeister,Kahlua,Milk,,,,,,,,,,,,1 part ,1 part ,1 part ,2 1/2 parts ,,,,,,,,,,,
Winter Paloma,Cocktail,Highball glass,Everyone’s favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with “Timur Pepper” which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.,https://www.thecocktaildb.com/images/media/drink/u5f0pz1614007748.jpg,Tequila,Grapefruit Juice,Lime Juice,Agave Syrup,Pepper,,,,,,,,,,,2 shots,Top,Juice of 1,1 tsp,Dash,,,,,,,,,,
Ruby Tuesday,Cocktail,Highball glass,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,https://www.thecocktaildb.com/images/media/drink/qsyqqq1441553437.jpg,Gin,Cranberry juice,Grenadine,,,,,,,,,,,,,2 oz ,5 oz ,2 splashes ,,,,,,,,,,,,
Applecar,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Applejack,Triple sec,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,
Bloody Punch,Punch / Party Drink,Punch bowl,"Place the thawed strawberries in a large bowl. Mash them with a fork to ensure no large chunks.

Step
2

 
In a punch bowl or pitcher, combine mashed strawberries, lime pulp and soda. Mix well.

Step
3

 
Add blueberries and raisins. They will float and look like bugs in the punch.",https://www.thecocktaildb.com/images/media/drink/5yhd3n1571687385.jpg,Vodka,Strawberries,Lime Juice,Lemon-lime soda,Lemon-lime soda,Raisins,Blueberries,,,,,,,,,10 shots,3 cups,1/2 cup,12 oz,12 oz,1 cup,1 cup,,,,,,,,
Havana Cocktail,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,Light rum,Pineapple juice,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1 tsp ,,,,,,,,,,,,
Chocolate Milk,Shot,Shot Glass,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",https://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,Chocolate liqueur,Milk,Amaretto,,,,,,,,,,,,,1/2 shot ,1/2 shot ,1 dash ,,,,,,,,,,,,
Green Goblin,Beer,Pint glass,"Cider First, Lager then Curacao",https://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,Cider,Lager,Blue Curacao,,,,,,,,,,,,,1/2 pint hard ,1/2 pint ,1 shot ,,,,,,,,,,,,
Army special,Cocktail,Cocktail glass,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",https://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg,Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,,,,30 ml ,30 ml ,45 ml ,1/2 glass crushed ,,,,,,,,,,,
Texas Sling,Shake,Wine Glass,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.",https://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,Kahlua,Irish cream,Amaretto,151 proof rum,Cream,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,1 oz ,,,,,,,,,,
Auburn Headbanger,Shot,Shot glass,Mix in spread glass over ice. Strain and pour in shot glass. Sit down before shotting. ENJOY!!,https://www.thecocktaildb.com/images/media/drink/vw7iv91493067320.jpg,Jägermeister,Goldschlager,,,,,,,,,,,,,,1 oz ,1 oz ,,,,,,,,,,,,,
Vodka Lemon,Cocktail,Highball glass,"The vodka lemon is prepared directly in a highball glass or in a large tumbler: put 6-7 ice cubes in the glass, pour the vodka, lemonade and mix with a bar spoon. Finally decorate with a slice of lemon and, if you prefer, add a few mint leaves. Your vodka lemon is ready to be served.",https://www.thecocktaildb.com/images/media/drink/mql55h1643820632.jpg,Vodka,Lemon Juice,Lemon Peel,Ice,,,,,,,,,,,,5 cl,7 cl,1 Slice,cubes,,,,,,,,,,,
Vodka And Tonic,Ordinary Drink,Highball glass,"Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/lmj2yt1504820500.jpg,Vodka,Tonic water,,,,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,
Veteran,Ordinary Drink,Old-fashioned glass,Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/iwml9t1492976255.jpg,Dark rum,Cherry brandy,,,,,,,,,,,,,,2 oz ,1/2 oz ,,,,,,,,,,,,,
Iced Coffee Fillip,Coffee / Tea,Coffee mug,Mix together in a coffee mug and chill before serving.,https://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,Kahlua,Coffee,,,,,,,,,,,,,,2 tsp ,Strong cold ,,,,,,,,,,,,,
Rum Punch,Punch / Party Drink,Punch bowl,Mix all ingredients in a punch bowl and serve.,https://www.thecocktaildb.com/images/media/drink/wyrsxu1441554538.jpg,Rum,Ginger ale,Fruit punch,Orange juice,Ice,,,,,,,,,,,mikey bottle ,large bottle ,355 ml frozen ,355 ml frozen ,crushed ,,,,,,,,,,
Salty Dog,Ordinary Drink,Highball glass,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)",https://www.thecocktaildb.com/images/media/drink/4vfge01504890216.jpg,Grapefruit juice,Gin,Salt,,,,,,,,,,,,,5 oz ,1 1/2 oz ,1/4 tsp ,,,,,,,,,,,,
Manhattan,Cocktail,Cocktail glass,"Stirred over ice, strained into a chilled glass, garnished, and served up.",https://www.thecocktaildb.com/images/media/drink/yk70e31606771240.jpg,Sweet Vermouth,Bourbon,Angostura bitters,Ice,Maraschino cherry,Orange peel,,,,,,,,,,3/4 oz ,2 1/2 oz Blended ,dash ,2 or 3 ,1 ,1 twist of ,,,,,,,,,
Gin Tonic,Cocktail,Highball glass,"Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.",https://www.thecocktaildb.com/images/media/drink/qcgz0t1643821443.jpg,Gin,Tonic Water,Lemon Peel,Ice,,,,,,,,,,,,4 cl,10 cl,1 Slice,cubes,,,,,,,,,,,
Mulled Wine,Punch / Party Drink,Collins Glass,"Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.",https://www.thecocktaildb.com/images/media/drink/iuwi6h1504735724.jpg,Water,Sugar,Cloves,Cinnamon,Lemon peel,Red wine,Brandy,,,,,,,,,3 cups ,1 cup ,12 ,2 ,1 ,750 ml ,1/4 cup ,,,,,,,,
Midnight Manx,Ordinary Drink,Old-fashioned glass,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!",https://www.thecocktaildb.com/images/media/drink/uqqurp1441208231.jpg,Kahlua,Baileys irish cream,Goldschlager,Heavy cream,Coffee,,,,,,,,,,,1 oz ,1 oz ,dash ,2 oz ,2 oz Hazlenut ,,,,,,,,,,
Kamikaze,Ordinary Drink,Cocktail glass,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/d7ff7u1606855412.jpg,Vodka,Triple sec,Lime juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,
Amaretto Liqueur,Homemade Liqueur,Collins Glass,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging.",https://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg,Sugar,Water,Apricot,Almond flavoring,Grain alcohol,Water,Brandy,Food coloring,Food coloring,Food coloring,Glycerine,,,,,1 cup,3/4 cup ,2 ,1 tblsp ,1/2 cup pure ,1/2 cup ,1 cup ,3 drops yellow ,6 drops red ,2 drops blue ,1/2 tsp ,,,,
Atomic Lokade,Ordinary Drink,Collins Glass,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste",https://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg,Lemonade,Vodka,Blue Curacao,Triple sec,Sugar,Ice,,,,,,,,,,5 oz ,1 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,
Oreo Mudslide,Ordinary Drink,Collins Glass,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.",https://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg,Vodka,Kahlua,Baileys irish cream,Vanilla ice-cream,Oreo cookie,,,,,,,,,,,1 oz ,1 oz ,1 oz ,2 scoops ,1 ,,,,,,,,,,
Fruit Shake,Other / Unknown,Highball Glass,Blend til smooth.,https://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg,Yoghurt,Banana,Orange juice,Fruit,Ice,,,,,,,,,,,1 cup fruit ,1 ,4 oz frozen ,1/2 piece textural ,6 ,,,,,,,,,,
Gin Daisy,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",https://www.thecocktaildb.com/images/media/drink/z6e22f1582581155.jpg,Gin,Lemon juice,Sugar,Grenadine,Maraschino cherry,Orange,,,,,,,,,,2 oz ,1 oz ,1/2 tsp superfine ,1/2 tsp ,1 ,1 ,,,,,,,,,
Amaretto Sour,Ordinary Drink,Collins Glass,Shake and strain. Garnish with a cherry and an orange slice.,https://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,Amaretto,Sour mix,,,,,,,,,,,,,,1 1/2 oz ,3 oz ,,,,,,,,,,,,,
Damned if you do,Shot,Shot glass,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,https://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg,Whiskey,Hot Damn,,,,,,,,,,,,,,0.75 oz ,0.25 oz ,,,,,,,,,,,,,
Vodka Tonic,Cocktail,Highball glass,"Wash and cut 1 wedge and 1 slice of lime or lemon.
Fill a tumbler with fresh ice.
Pour the desired dose of vodka and top up with the tonic.
Squeeze the lime wedge into the glass and decorate with the slice.
That's all, very simple: it's just the recipe for happiness!",https://www.thecocktaildb.com/images/media/drink/9koz3f1643821062.jpg,Vodka,Tonic Water,Lemon Peel,,,,,,,,,,,,,4 cl,10 cl,1 Slice,,,,,,,,,,,,
Harvey Wallbanger,Ordinary Drink,Collins glass,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",https://www.thecocktaildb.com/images/media/drink/7os4gs1606854357.jpg,Vodka,Galliano,Orange juice,,,,,,,,,,,,,1 oz ,1/2 oz ,4 oz ,,,,,,,,,,,,
Ramos Gin Fizz,Cocktail,Highball glass,"Prepare all the ingredients on the counter to be able to work well and quickly, especially the cream and egg white.

Pour all the ingredients into a shaker.

Shake vigorously for 1 minute: cream and egg white must be mixed perfectly, so don't rush.

Now open the shaker and put some ice and shake for 1-2 minutes. It depends on how long you can resist!

Pour into a highball glass, add a splash of soda and garnish to taste.

Ramos Gin Fizz was once drunk as an invigorating drink or even as a breakfast, try it as an aperitif and after dinner and you will discover a little gem now lost.",https://www.thecocktaildb.com/images/media/drink/967t911643844053.jpg,Gin,Lemon Juice,Sugar Syrup,Cream,Egg White,Vanilla extract,Soda Water,,,,,,,,,4.5 cL,3 cl,3 cl,6 cl,1,2 drop,2 cl,,,,,,,,
Brandy Cobbler,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices.",https://www.thecocktaildb.com/images/media/drink/5xgu591582580586.jpg,Sugar,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,,,,,,,,1 tsp superfine ,3 oz ,1 ,2 oz ,1 ,1 ,,,,,,,,,
Strawberry Margarita,Ordinary Drink,Cocktail glass,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",https://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,Strawberry schnapps,Tequila,Triple sec,Lemon juice,Strawberries,Salt,,,,,,,,,,1/2 oz ,1 oz ,1/2 oz ,1 oz ,1 oz ,,,,,,,,,,
Zipperhead,Shot,Whiskey sour glass,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).",https://www.thecocktaildb.com/images/media/drink/r2qzhu1485620235.jpg,Chambord raspberry liqueur,Vodka,Soda water,,,,,,,,,,,,,1 shot ,1 shot ,Fill with ,,,,,,,,,,,,
